student_id,student_first_name,student_last_name,student_email,student_major,student_status,student_gpa,student_enrollment_date,department_name,department_id,total_tuition_paid,total_tuition_due,outstanding_balance,total_payments_count,completed_payments_count,pending_payments_count,failed_payments_count,last_payment_date,last_payment_amount,last_payment_method,credit_card_payments_total,bank_transfer_total,check_payments_total,financial_aid_total,total_scholarships_received,scholarship_count,merit_scholarships_total,need_based_scholarships_total,athletic_scholarships_total,departmental_scholarships_total,largest_scholarship_amount,latest_scholarship_date,net_tuition_after_scholarships,scholarship_coverage_rate_pct,payment_success_rate_pct,avg_payment_amount,fall_2024_tuition,fall_2024_scholarships,spring_2024_tuition,spring_2024_scholarships,fall_2023_tuition,fall_2023_scholarships,has_outstanding_balance,is_scholarship_recipient,is_payment_plan_active,is_financial_aid_recipient
12,Ernest,Johnson,ejohnson@example.org,English,Active,2.58,2025-01-15,English,6,31113.4,34825.58,3712.18,4,2,2,0,2025-03-23,9517.46,Financial Aid,15653.36,10159.38,3753.83,5727.75,21589.69,0,11504.74,4872.93,5889.21,4762.07,15559.96,2025-01-17,9523.710000000003,69.39,50.0,15556.7,7778.35,5397.42,7778.35,5397.42,7778.35,5397.42,True,True,True,True
13,Patrick,Bradley,erikarush@example.com,Computer Science,Active,2.91,2023-07-05,Computer Science,1,26302.78,31234.37,4931.59,15,14,1,0,2025-07-18,7325.26,Check,11884.35,5507.34,1597.8,2963.65,10901.83,2,5978.58,4065.67,3142.76,1792.64,6527.28,2025-11-03,15400.949999999999,41.45,93.33,1878.77,6575.69,2725.46,6575.69,2725.46,6575.69,2725.46,True,True,True,True
14,Devin,Richardson,debra31@example.org,Business,Graduated,3.94,2022-05-08,Computer Science,1,33626.99,36937.83,3310.84,4,1,2,1,2025-03-29,1837.52,Bank Transfer,10529.97,8959.54,4995.74,7873.99,12474.45,0,6665.18,2961.79,3331.3,2083.8,6306.44,2025-10-19,21152.539999999997,37.1,25.0,33626.99,8406.75,3118.61,8406.75,3118.61,8406.75,3118.61,True,True,True,True
15,Paul,Hoffman,kimberly73@example.net,History,Active,2.92,2024-01-15,History,7,43140.87,46001.05,2860.18,16,15,0,1,2025-08-24,7061.94,Financial Aid,18874.84,9375.26,4387.47,8789.22,6336.08,3,3830.1,2277.18,1012.5,1234.76,3358.9,2025-06-02,36804.79,14.69,93.75,2876.06,10785.22,1584.02,10785.22,1584.02,10785.22,1584.02,True,True,False,True
16,Travis,Martinez,hayesrachel@example.com,Economics,On Leave,3.25,2025-09-15,Economics,9,14848.33,19698.989999999998,4850.66,1,1,0,0,2025-06-13,8016.58,Bank Transfer,5773.41,4350.95,1088.92,3471.92,10686.17,1,6472.5,4681.39,2980.11,1779.32,8623.94,2025-05-27,4162.16,71.97,100.0,14848.33,3712.08,2671.54,3712.08,2671.54,3712.08,2671.54,True,True,False,True
17,Tammy,Downs,jenna88@example.com,Computer Science,Active,2.41,2025-04-14,Computer Science,1,34195.76,35376.44,1180.68,12,9,2,1,2025-02-22,2783.39,Credit Card,18181.97,13654.57,1907.63,4136.22,2622.21,2,1180.62,1309.01,421.48,598.63,2621.08,2025-11-25,31573.550000000003,7.67,75.0,3799.53,8548.94,655.55,8548.94,655.55,8548.94,655.55,True,True,True,False
18,Jennifer,Ho,laurahicks@example.org,English,Active,3.76,2025-06-12,English,6,24007.08,25948.24,1941.16,4,1,2,1,2025-07-11,2932.14,Financial Aid,11234.03,7914.12,1416.99,3168.21,7294.47,2,4161.5,2579.91,884.01,1318.98,5707.02,2025-09-26,16712.61,30.38,25.0,24007.08,6001.77,1823.62,6001.77,1823.62,6001.77,1823.62,True,True,True,True
19,Joel,Snyder,angela57@example.net,Physics,Active,3.6,2025-03-18,Physics,3,55100.05,56040.19,940.14,5,4,0,1,2025-09-23,8681.65,Financial Aid,16991.66,17971.17,3977.97,8625.41,11071.31,0,5402.14,3609.4,1414.92,1186.58,9642.85,2025-07-02,44028.740000000005,20.09,80.0,13775.01,13775.01,2767.83,13775.01,2767.83,13775.01,2767.83,True,True,False,True
20,Cameron,Sanders,xfox@example.com,History,Active,2.03,2025-07-30,History,7,13849.83,16228.65,2378.82,6,5,0,1,2025-07-07,7177.33,Bank Transfer,6649.94,5066.78,1508.75,1512.68,23333.55,3,11105.74,5012.94,364.4,4640.22,22637.98,2025-12-20,-9483.72,168.48,83.33,2769.97,3462.46,5833.39,3462.46,5833.39,3462.46,5833.39,True,True,False,True
21,Teresa,Day,howens@example.com,Business,On Leave,2.92,2022-05-03,Computer Science,1,28810.74,32377.350000000002,3566.61,13,12,1,0,2025-10-29,8716.7,Credit Card,12661.63,9984.47,1942.76,6102.78,4612.9,1,2751.67,2008.43,1004.13,551.08,4538.28,2025-07-19,24197.840000000004,16.01,92.31,2400.89,7202.69,1153.22,7202.69,1153.22,7202.69,1153.22,True,True,True,False
22,Andrea,Matthews,ryanbartlett@example.org,English,Graduated,3.87,2025-05-11,English,6,54993.75,55667.11,673.36,6,4,1,1,2025-05-10,5672.97,Bank Transfer,27221.11,18548.29,7070.41,8538.15,6254.4,0,4322.9,2931.62,1820.94,1304.2,3230.92,2025-02-17,48739.35,11.37,66.67,13748.44,13748.44,1563.6,13748.44,1563.6,13748.44,1563.6,True,True,True,True
23,Kevin,Martin,michaeleverett@example.com,Psychology,Active,2.83,2024-02-11,Psychology,8,17767.37,18399.76,632.39,12,9,2,1,2025-02-15,1497.42,Check,8991.39,3594.35,906.74,3655.45,9753.2,1,4747.03,2488.54,2908.14,2104.53,7519.86,2025-11-08,8014.169999999998,54.89,75.0,1974.15,4441.84,2438.3,4441.84,2438.3,4441.84,2438.3,True,True,True,True
24,Cynthia,Pierce,colleenmendez@example.org,English,Active,3.1,2023-01-17,English,6,34328.35,38546.34,4217.99,15,14,0,1,2025-07-30,2011.09,Credit Card,16721.22,8694.61,2175.26,5843.28,22389.33,1,12584.61,8309.29,4100.5,3446.61,20807.99,2025-04-04,11939.019999999997,65.22,93.33,2452.03,8582.09,5597.33,8582.09,5597.33,8582.09,5597.33,True,True,False,True
25,Shelly,Moore,megan90@example.org,History,Active,3.49,2022-09-19,History,7,41807.08,45358.29,3551.21,15,14,1,0,2025-10-27,3771.02,Credit Card,15947.12,11255.2,3124.13,9277.66,11172.56,2,4594.23,5249.29,2301.12,2631.59,11042.12,2025-06-22,30634.520000000004,26.72,93.33,2986.22,10451.77,2793.14,10451.77,2793.14,10451.77,2793.14,True,True,True,True
26,Kelli,Baker,katiebutler@example.net,Mathematics,Graduated,2.68,2025-11-01,Mathematics,2,12157.51,15259.73,3102.22,1,1,0,0,2025-04-07,4673.39,Financial Aid,4151.09,4166.85,724.16,1693.27,22745.51,0,12247.43,9676.76,1809.31,5659.73,18992.99,2025-12-18,-10587.999999999998,187.09,100.0,12157.51,3039.38,5686.38,3039.38,5686.38,3039.38,5686.38,True,True,False,True
27,Amy,May,timothy64@example.com,Computer Science,Graduated,2.57,2025-08-06,Computer Science,1,32799.61,33035.07,235.46,8,7,0,1,2025-11-26,3044.21,Financial Aid,10321.27,7085.51,1911.6,7647.03,7532.5,3,3858.28,2158.85,1188.41,825.8,6505.83,2025-03-07,25267.11,22.97,87.5,4685.66,8199.9,1883.12,8199.9,1883.12,8199.9,1883.12,True,True,False,True
28,Scott,Washington,matthewthomas@example.net,English,Graduated,3.73,2022-04-13,English,6,59541.55,60224.19,682.64,11,11,0,0,2025-07-16,9140.32,Financial Aid,25563.37,21804.88,3120.79,10507.44,13640.38,1,6600.37,6225.13,2643.0,2859.49,9183.27,2025-06-25,45901.170000000006,22.91,100.0,5412.87,14885.39,3410.09,14885.39,3410.09,14885.39,3410.09,True,True,False,True
29,Michael,Ross,zachary15@example.org,Economics,Graduated,2.66,2025-12-29,Economics,9,7488.35,11646.560000000001,4158.21,11,8,2,1,2025-12-05,8164.51,Financial Aid,4029.73,2744.49,785.28,1232.76,2722.53,3,1895.53,1338.83,808.3,630.74,1961.78,2025-06-04,4765.82,36.36,72.73,936.04,1872.09,680.63,1872.09,680.63,1872.09,680.63,True,True,True,False
30,John,Davis,sonia96@example.org,English,Active,3.87,2023-02-10,English,6,21271.17,23226.399999999998,1955.23,13,12,1,0,2025-10-20,9463.9,Financial Aid,10107.35,5843.75,2298.58,3011.87,7545.49,2,4547.02,3059.28,551.23,1946.09,6944.1,2025-04-28,13725.679999999998,35.47,92.31,1772.6,5317.79,1886.37,5317.79,1886.37,5317.79,1886.37,True,True,True,True
31,Lisa,Peck,james27@example.net,Biology,Active,3.14,2025-08-26,Biology,5,22345.38,24722.16,2376.78,5,3,1,1,2025-03-01,4829.58,Check,12526.38,8429.45,3059.47,3751.17,15930.1,2,9797.67,7317.25,817.88,2872.02,15349.45,2025-09-01,6415.280000000001,71.29,60.0,7448.46,5586.35,3982.53,5586.35,3982.53,5586.35,3982.53,True,True,True,True
32,Tyler,Davis,pwagner@example.org,Economics,Active,3.49,2025-07-23,Economics,9,38466.07,38721.8,255.73,16,14,1,1,2025-08-26,2172.28,Check,18178.32,9251.24,3853.82,5311.39,12140.52,2,6128.87,4358.92,555.68,2880.49,9846.19,2025-09-12,26325.55,31.56,87.5,2747.58,9616.52,3035.13,9616.52,3035.13,9616.52,3035.13,True,True,True,True
33,Juan,Harper,amitchell@example.org,Engineering,Active,2.99,2022-03-28,Engineering,11,19649.43,21526.84,1877.41,8,5,2,1,2025-03-04,4471.74,Financial Aid,11486.75,4764.27,1395.26,3184.75,13857.12,2,7020.35,3959.37,2527.88,3721.49,9550.32,2026-01-07,5792.3099999999995,70.52,62.5,3929.89,4912.36,3464.28,4912.36,3464.28,4912.36,3464.28,True,True,True,True
34,Jessica,Gallagher,brandon09@example.net,Physics,Active,2.66,2025-07-28,Physics,3,56990.56,60802.57,3812.01,17,15,1,1,2025-03-13,7451.27,Credit Card,20721.79,16704.46,2863.87,8773.25,12066.09,3,5262.34,2880.09,2861.97,2332.58,11768.9,2025-03-07,44924.47,21.17,88.24,3799.37,14247.64,3016.52,14247.64,3016.52,14247.64,3016.52,True,True,True,True
35,Charles,Gordon,marcia99@example.org,History,On Leave,3.82,2024-04-03,History,7,34597.59,37617.34,3019.75,13,12,1,0,2025-07-17,8493.52,Credit Card,17134.01,11773.02,3922.76,7993.45,12383.63,3,7582.92,2893.55,1466.49,3206.29,11782.44,2025-07-31,22213.96,35.79,92.31,2883.13,8649.4,3095.91,8649.4,3095.91,8649.4,3095.91,True,True,True,True
36,Nathaniel,Hatfield,kari39@example.net,Mathematics,Active,3.74,2022-06-06,Mathematics,2,46218.31,49788.85,3570.54,10,9,0,1,2025-08-06,4281.54,Credit Card,17974.78,16366.48,5465.97,4773.19,22061.5,1,9867.31,10544.79,3952.97,2832.8,14257.97,2025-10-02,24156.809999999998,47.73,90.0,5135.37,11554.58,5515.38,11554.58,5515.38,11554.58,5515.38,True,True,False,True
37,Benjamin,Reeves,jstone@example.net,Psychology,Active,2.68,2022-03-15,Psychology,8,46047.49,47269.72,1222.23,16,14,1,1,2025-04-12,2087.5,Check,19548.02,13050.94,3241.56,7201.47,16117.3,1,9636.95,3820.13,510.8,3563.06,9212.26,2025-02-09,29930.19,35.0,87.5,3289.11,11511.87,4029.32,11511.87,4029.32,11511.87,4029.32,True,True,True,True
38,Sarah,Flores,vewing@example.com,Business,On Leave,3.7,2022-08-08,Computer Science,1,6446.58,6926.9,480.32,5,3,1,1,2025-07-21,2775.32,Financial Aid,2613.19,2380.0,562.26,837.22,14820.38,0,9263.71,5417.3,3374.53,4386.42,11486.27,2025-08-12,-8373.8,229.89,60.0,2148.86,1611.64,3705.09,1611.64,3705.09,1611.64,3705.09,True,True,True,True
39,William,Burns,thomas05@example.com,Mathematics,On Leave,3.91,2024-01-27,Mathematics,2,44969.02,47927.6,2958.58,16,13,2,1,2025-05-07,4407.31,Check,21499.71,12230.09,6730.99,9398.88,20732.02,0,12918.59,5300.67,3293.72,5409.55,14959.36,2025-11-20,24236.999999999996,46.1,81.25,3459.16,11242.25,5183.01,11242.25,5183.01,11242.25,5183.01,True,True,True,True
40,Brandy,Robles,carlsonjoseph@example.net,History,Active,2.07,2025-12-17,History,7,54021.35,57558.13,3536.78,4,3,0,1,2025-04-14,8547.75,Check,27882.59,11884.04,5404.09,5650.62,3985.56,0,1916.04,936.67,614.3,626.58,3916.4,2025-05-10,50035.79,7.38,75.0,18007.12,13505.34,996.39,13505.34,996.39,13505.34,996.39,True,True,False,False
41,Becky,Griffith,ojackson@example.net,Psychology,Active,3.99,2025-02-22,Psychology,8,57042.72,60152.770000000004,3110.05,3,1,1,1,2025-05-04,3654.45,Credit Card,19638.75,11666.53,8442.0,9563.79,12144.79,2,5686.18,5939.62,819.15,3565.47,7806.96,2025-06-17,44897.93,21.29,33.33,57042.72,14260.68,3036.2,14260.68,3036.2,14260.68,3036.2,True,True,True,True
42,Dylan,Becker,armstrongjackie@example.org,Business,Active,3.52,2025-05-28,Computer Science,1,17172.24,21247.79,4075.55,9,6,2,1,2025-09-12,1975.88,Bank Transfer,8523.86,5928.07,1746.1,4266.14,19037.48,0,7641.07,4303.53,195.48,3859.52,15644.66,2025-11-20,-1865.239999999998,110.86,66.67,2862.04,4293.06,4759.37,4293.06,4759.37,4293.06,4759.37,True,True,True,True
43,Edward,Vaughn,nshaw@example.com,Engineering,Active,3.39,2023-04-19,Engineering,11,38141.69,39333.840000000004,1192.15,13,13,0,0,2025-08-25,7364.43,Bank Transfer,20771.01,12288.53,3488.92,7774.16,18002.45,0,11369.27,7284.72,1907.6,3475.78,11493.63,2025-05-25,20139.24,47.2,100.0,2933.98,9535.42,4500.61,9535.42,4500.61,9535.42,4500.61,True,True,False,True
44,Bryan,Taylor,annbolton@example.com,Economics,Active,3.59,2024-12-26,Economics,9,28892.89,29086.309999999998,193.42,8,6,2,0,2025-10-30,4932.71,Financial Aid,15653.5,7705.74,2233.12,6530.38,24547.85,0,11019.38,8761.88,4739.89,6565.09,24280.69,2025-07-29,4345.040000000001,84.96,75.0,4815.48,7223.22,6136.96,7223.22,6136.96,7223.22,6136.96,True,True,True,True
45,Glen,Barr,amy49@example.com,Mathematics,Active,2.29,2023-04-19,Mathematics,2,41189.42,43131.64,1942.22,14,14,0,0,2025-09-18,1470.46,Bank Transfer,13549.38,9559.28,4279.16,5804.0,3667.0,3,2207.73,853.09,293.35,900.97,1885.33,2025-08-13,37522.42,8.9,100.0,2942.1,10297.35,916.75,10297.35,916.75,10297.35,916.75,True,True,False,False
46,Angela,Walker,kellie37@example.com,Engineering,Graduated,2.34,2023-01-11,Engineering,11,17045.72,20516.68,3470.96,6,6,0,0,2025-05-05,7502.11,Credit Card,8153.21,5607.98,1035.31,3754.64,7969.57,0,3274.27,2823.13,1809.98,1460.02,6167.46,2025-07-31,9076.150000000001,46.75,100.0,2840.95,4261.43,1992.39,4261.43,1992.39,4261.43,1992.39,True,True,False,True
47,Sarah,Griffith,david86@example.com,Physics,Graduated,3.37,2024-04-13,Physics,3,35273.88,38406.49,3132.61,6,4,2,0,2025-11-25,1965.71,Bank Transfer,17709.63,11670.94,1958.86,4810.55,8680.09,0,5935.35,2616.09,372.29,1841.46,5905.41,2025-11-15,26593.789999999997,24.61,66.67,8818.47,8818.47,2170.02,8818.47,2170.02,8818.47,2170.02,True,True,True,True
48,Linda,Roberts,stephanie15@example.com,Biology,Active,2.92,2025-11-10,Biology,5,53823.76,57137.100000000006,3313.34,15,13,2,0,2025-08-15,1049.3,Financial Aid,24314.62,15208.48,5414.32,7337.87,17430.43,3,9801.09,5836.96,2476.05,1880.68,15393.98,2025-09-22,36393.33,32.38,86.67,4140.29,13455.94,4357.61,13455.94,4357.61,13455.94,4357.61,True,True,True,True
49,Jason,Clayton,sarah42@example.org,Computer Science,Active,3.8,2025-01-11,Computer Science,1,45097.76,46479.920000000006,1382.16,15,14,0,1,2025-11-12,7021.15,Credit Card,20611.01,16960.88,4571.32,10087.5,22274.03,0,14261.59,6051.38,1685.2,2731.59,16488.06,2025-09-13,22823.730000000003,49.39,93.33,3221.27,11274.44,5568.51,11274.44,5568.51,11274.44,5568.51,True,True,False,True
50,John,Santiago,danawilliams@example.com,History,Active,2.32,2024-05-22,History,7,10368.95,12998.2,2629.25,3,1,1,1,2025-02-16,6912.43,Bank Transfer,4461.83,3693.71,576.14,2326.37,6273.46,0,4292.94,2537.67,1681.12,806.48,4693.86,2025-06-07,4095.4900000000007,60.5,33.33,10368.95,2592.24,1568.37,2592.24,1568.37,2592.24,1568.37,True,True,True,True
51,Erin,Taylor,richarddonovan@example.com,Psychology,On Leave,3.28,2023-12-07,Psychology,8,35708.71,36725.0,1016.29,5,2,2,1,2025-04-25,7413.29,Bank Transfer,20503.36,13573.89,3586.26,6830.52,4748.06,0,3132.36,2151.83,783.97,613.38,4628.84,2025-09-22,30960.649999999998,13.3,40.0,17854.35,8927.18,1187.02,8927.18,1187.02,8927.18,1187.02,True,True,True,False
52,Tamara,Morris,velezchristopher@example.net,English,Active,3.69,2022-11-03,English,6,7095.23,8293.01,1197.78,10,10,0,0,2025-09-22,8531.89,Credit Card,3011.44,1897.03,582.83,1164.01,23178.73,1,16118.03,5447.78,1388.58,2794.29,18671.49,2025-07-16,-16083.5,326.68,100.0,709.52,1773.81,5794.68,1773.81,5794.68,1773.81,5794.68,True,True,False,True
53,Melissa,Johnson,robertmonroe@example.org,Business,Active,2.47,2024-12-30,Computer Science,1,9990.11,12912.970000000001,2922.86,12,11,0,1,2025-06-13,8927.66,Credit Card,4755.61,3588.63,545.71,1964.3,3852.34,0,2366.33,1236.64,449.23,692.23,3512.35,2025-12-31,6137.77,38.56,91.67,908.19,2497.53,963.09,2497.53,963.09,2497.53,963.09,True,True,False,False
54,Tyler,Zuniga,nancy04@example.net,Psychology,Active,3.99,2023-08-19,Psychology,8,36613.28,39735.94,3122.66,9,7,2,0,2025-04-29,2602.02,Credit Card,12641.99,8111.36,3012.07,9026.16,12459.11,1,5632.76,4709.37,3485.5,3263.14,6973.16,2025-11-01,24154.17,34.03,77.78,5230.47,9153.32,3114.78,9153.32,3114.78,9153.32,3114.78,True,True,True,True
55,Matthew,Gibson,ismall@example.net,Mathematics,On Leave,2.55,2025-10-03,Mathematics,2,58962.47,61311.64,2349.17,7,6,1,0,2026-01-13,3663.32,Financial Aid,31256.83,16363.12,4073.94,14237.19,12073.25,0,7535.31,2495.56,3377.23,3180.4,8905.58,2025-11-15,46889.22,20.48,85.71,9827.08,14740.62,3018.31,14740.62,3018.31,14740.62,3018.31,True,True,True,True
56,Daniel,Martin,twong@example.org,Computer Science,Active,3.82,2022-10-24,Computer Science,1,27927.87,30193.67,2265.8,16,15,0,1,2025-02-23,5445.03,Credit Card,8394.13,8196.07,2644.94,5359.33,16505.46,1,8343.54,3782.79,2872.13,3592.33,13932.31,2025-10-23,11422.41,59.1,93.75,1861.86,6981.97,4126.36,6981.97,4126.36,6981.97,4126.36,True,True,False,True
57,Kenneth,Craig,gregorychase@example.com,Biology,Active,3.21,2023-05-23,Biology,5,34331.78,35004.85,673.07,10,10,0,0,2025-11-17,7949.58,Financial Aid,20094.29,11324.98,3454.4,4613.22,4839.69,2,2533.8,1202.23,1219.9,496.13,4566.67,2025-07-19,29492.09,14.1,100.0,3433.18,8582.94,1209.92,8582.94,1209.92,8582.94,1209.92,True,True,False,False
58,Christopher,Caldwell,tinawoods@example.org,Biology,On Leave,3.24,2024-02-07,Biology,5,19595.5,19734.0,138.5,6,3,2,1,2025-10-09,4653.42,Check,11755.78,4309.97,1981.92,2870.87,11898.74,2,7876.53,3288.21,3288.74,3023.53,8498.63,2025-12-20,7696.76,60.72,50.0,6531.83,4898.88,2974.68,4898.88,2974.68,4898.88,2974.68,True,True,True,True
59,Sean,Adams,kevin90@example.com,Engineering,On Leave,3.26,2023-07-30,Engineering,11,12673.21,15904.199999999999,3230.99,1,1,0,0,2025-05-29,2316.39,Check,6048.07,4380.95,1656.68,3018.42,20520.33,3,12451.79,6361.37,2220.8,2214.63,12138.87,2025-12-23,-7847.120000000003,161.92,100.0,12673.21,3168.3,5130.08,3168.3,5130.08,3168.3,5130.08,True,True,False,True
60,Bryan,Wilson,erik84@example.net,Computer Science,Active,2.62,2024-10-24,Computer Science,1,18843.23,23780.93,4937.7,4,4,0,0,2025-11-11,2502.08,Bank Transfer,8617.82,5400.22,2125.03,2361.55,9131.64,3,4261.62,3512.11,1378.48,2538.04,7836.56,2026-01-11,9711.59,48.46,100.0,4710.81,4710.81,2282.91,4710.81,2282.91,4710.81,2282.91,True,True,False,True
61,Kenneth,Mendez,susanmendoza@example.com,Economics,Active,3.46,2025-09-15,Economics,9,11685.94,15788.42,4102.48,7,4,2,1,2025-12-28,7284.55,Credit Card,7008.03,3115.11,1370.81,1494.83,18884.4,1,12358.36,8770.64,3720.98,2904.23,15437.32,2025-05-15,-7198.460000000001,161.6,57.14,2921.49,2921.49,4721.1,2921.49,4721.1,2921.49,4721.1,True,True,True,True
62,Robert,Dunn,ztodd@example.net,Mathematics,Graduated,2.35,2024-06-18,Mathematics,2,7063.74,8837.22,1773.48,17,15,2,0,2025-08-30,7652.02,Financial Aid,3278.27,2373.52,1051.55,1718.79,10126.72,2,6539.02,4402.28,2699.47,1314.64,7975.38,2025-05-13,-3062.9799999999996,143.36,88.24,470.92,1765.93,2531.68,1765.93,2531.68,1765.93,2531.68,True,True,True,True
63,Erin,Larson,foxallison@example.com,History,Active,3.0,2025-02-02,History,7,39728.32,41598.99,1870.67,13,12,1,0,2025-10-06,8822.52,Financial Aid,21160.44,9712.14,5009.29,5175.44,21656.82,0,14377.7,7872.25,2392.78,3650.39,19643.91,2025-03-10,18071.5,54.51,92.31,3310.69,9932.08,5414.2,9932.08,5414.2,9932.08,5414.2,True,True,True,True
64,Bryan,Kelley,ashleyhernandez@example.com,English,On Leave,3.93,2024-04-19,English,6,59328.41,63226.37,3897.96,15,13,1,1,2025-06-08,5930.47,Financial Aid,21310.33,22380.06,7126.45,14401.42,8221.37,2,3973.65,2567.87,381.56,860.09,4695.68,2025-06-06,51107.04,13.86,86.67,4563.72,14832.1,2055.34,14832.1,2055.34,14832.1,2055.34,True,True,True,True
65,Erin,Love,gdavis@example.com,Business,Active,2.94,2023-10-23,Computer Science,1,50127.19,53755.990000000005,3628.8,8,8,0,0,2025-09-06,8673.15,Bank Transfer,25972.41,10182.47,5180.41,10983.48,7538.95,2,4845.12,2628.48,1367.03,1498.4,5156.77,2025-04-30,42588.240000000005,15.04,100.0,6265.9,12531.8,1884.74,12531.8,1884.74,12531.8,1884.74,True,True,False,True
